"","quarter","down","yards_to_go","play_type","offensive_formation","offensive_personnel","defenders_in_box","pass_rushers","defensive_personnel","dropback_type","absolute_yardline","play_result","score_diff","side","time_remaining","close_game","penalty","dbs","epa_bi","pass_result"
"11","1","2",7,"play_type_pass","SINGLEBACK","1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",17,0,0,"own",60.6333333333333,"0","0",5,"0","I"
"12","1","3",3,"play_type_pass","SHOTGUN","1 RB, 2 TE, 2 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",13,0,0,"own",60.1166666666667,"0","0",5,"0","I"
"13","1","2",4,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,3,"3 DL, 3 LB, 5 DB","TRADITIONAL",47,6,3,"other",58.7666666666667,"0","0",5,"1","C"
"14","1","1",10,"play_type_sack","SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",53,-7,3,"other",58.1,"0","0",5,"0","S"
"15","1","3",12,"play_type_sack","SHOTGUN","1 RB, 1 TE, 3 WR",6,3,"3 DL, 3 LB, 5 DB","TRADITIONAL",51,-6,3,"other",56.35,"0","0",5,"0","S"
"16","1","1",10,"play_type_pass","I_FORM","2 RB, 1 TE, 2 WR",8,4,"4 DL, 3 LB, 4 DB","TRADITIONAL",90,0,3,"other",55.5,"0","0",4,"0","I"
"17","2","3",12,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",4,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",28,-7,3,"other",55,"0","0",6,"0","C"
"18","2","1",10,"play_type_pass","SINGLEBACK","1 RB, 2 TE, 2 WR",7,4,"4 DL, 3 LB, 4 DB","SCRAMBLE_ROLLOUT_RIGHT",70,1,3,"other",54.2,"0","0",4,"0","C"
"19","2","3",7,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"4 DL, 2 LB, 5 DB","TRADITIONAL",67,10,3,"other",52.8833333333333,"0","0",5,"1","C"
"20","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",57,6,3,"own",52.2333333333333,"0","0",5,"0","C"
"21","2","2",4,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"3 DL, 3 LB, 5 DB","DESIGNED_ROLLOUT_RIGHT",51,10,3,"own",51.7166666666667,"0","0",5,"1","C"
"22","2","2",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",30,3,3,"own",49.1166666666667,"0","0",5,"0","C"
"23","2","1",19,"play_type_pass","SHOTGUN","1 RB, 2 TE, 2 WR",6,4,"4 DL, 3 LB, 4 DB","TRADITIONAL",29,0,3,"own",47.7166666666667,"0","0",4,"0","I"
"24","2","3",18,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",28,10,3,"own",46.8833333333333,"0","0",5,"0","C"
"25","2","2",8,"play_type_pass","SINGLEBACK","1 RB, 3 TE, 1 WR",7,4,"4 DL, 3 LB, 4 DB","TRADITIONAL",37,22,0,"other",45.5666666666667,"0","0",4,"1","C"
"26","2","2",9,"play_type_pass","SINGLEBACK","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",60,8,0,"own",44.3333333333333,"0","1",5,"1","C"
"27","2","2",8,"play_type_pass","PISTOL","2 RB, 0 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",85,0,0,"own",43.05,"0","0",5,"0","I"
"28","2","3",8,"play_type_sack","SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"4 DL, 1 LB, 6 DB","TRADITIONAL",85,-9,0,"own",42.9666666666667,"0","0",6,"0","S"
"29","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",105,0,3,"other",42.0166666666667,"0","0",5,"0","I"
"30","2","2",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",105,4,3,"other",41.95,"0","1",5,"1","C"
"31","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",81,7,3,"other",41.7333333333333,"0","0",5,"0","C"
"32","2","2",3,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",74,0,3,"other",41.65,"0","0",5,"0","I"
"33","2","3",3,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",74,0,3,"other",41.5833333333333,"0","0",5,"0","I"
"34","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",21,13,3,"other",41.3333333333333,"0","0",5,"1","C"
"35","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",34,0,3,"other",41.25,"0","0",5,"0","I"
"36","2","2",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",34,7,3,"other",41.1666666666667,"0","0",6,"0","C"
"37","2","3",3,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",41,0,3,"other",40.8,"0","0",6,"0","I"
"38","2","1",5,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",92,0,3,"other",40.4833333333333,"0","0",5,"0","I"
"39","2","2",5,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",92,0,3,"other",40.3666666666667,"0","0",5,"0","I"
"40","2","3",5,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",92,4,3,"other",40.2833333333333,"0","0",5,"0","C"
"41","3","1",10,"play_type_pass","SHOTGUN","1 RB, 2 TE, 2 WR",7,3,"3 DL, 3 LB, 5 DB","TRADITIONAL",85,8,3,"other",40,"0","0",5,"1","C"
"42","3","2",9,"play_type_pass","SINGLEBACK","1 RB, 2 TE, 2 WR",8,4,"4 DL, 3 LB, 4 DB","TRADITIONAL",68,0,3,"other",37.95,"0","0",4,"0","I"
"43","3","3",9,"play_type_pass","EMPTY","1 RB, 1 TE, 3 WR",6,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",68,0,3,"other",37.85,"0","0",5,"0","C"
"44","3","2",2,"play_type_pass","SINGLEBACK","1 RB, 3 TE, 1 WR",8,5,"4 DL, 3 LB, 4 DB","TRADITIONAL",38,4,3,"other",36.9,"0","0",4,"1","C"
"45","3","1",10,"play_type_pass","SINGLEBACK","1 RB, 1 TE, 3 WR",6,3,"4 DL, 2 LB, 5 DB","TRADITIONAL",42,0,3,"other",36.25,"0","0",5,"0","I"
"46","3","2",10,"play_type_pass","EMPTY","1 RB, 1 TE, 3 WR",5,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",42,0,3,"other",36.0666666666667,"0","1",6,"0","I"
"47","3","3",22,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",2,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",30,6,3,"other",35.95,"0","0",6,"0","C"
"48","3","1",10,"play_type_pass","SHOTGUN","1 RB, 2 TE, 2 WR",7,5,"4 DL, 3 LB, 4 DB","TRADITIONAL",73,4,3,"other",35.1833333333333,"0","0",4,"0","C"
"49","3","2",6,"play_type_pass","SHOTGUN","1 RB, 2 TE, 2 WR",7,4,"4 DL, 3 LB, 4 DB","TRADITIONAL",69,5,3,"other",34.5333333333333,"0","0",4,"0","C"
"50","3","1",10,"play_type_pass","EMPTY","1 RB, 2 TE, 2 WR",5,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",56,0,3,"own",33.15,"0","0",5,"0","I"
"51","3","3",5,"play_type_pass","SHOTGUN","1 RB, 2 TE, 2 WR",7,4,"3 DL, 3 LB, 5 DB","DESIGNED_ROLLOUT_RIGHT",51,15,3,"own",32.6833333333333,"0","0",5,"1","C"
"52","3","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",36,0,3,"own",31.7666666666667,"0","0",5,"0","I"
"53","3","3",8,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",34,18,3,"own",31,"0","0",5,"1","C"
"54","3","2",25,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",35,15,4,"other",28.55,"0","0",5,"1","C"
"55","3","3",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"4 DL, 1 LB, 6 DB","TRADITIONAL",50,0,4,"other",27.8,"0","0",6,"0","I"
"56","3","2",6,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",90,0,4,"other",26.8166666666667,"0","0",5,"0","I"
"57","3","3",6,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"3 DL, 3 LB, 5 DB","SCRAMBLE",90,0,4,"other",26.6833333333333,"0","0",5,"0","I"
"58","3","2",6,"play_type_pass","SINGLEBACK","1 RB, 2 TE, 2 WR",7,5,"4 DL, 2 LB, 5 DB","TRADITIONAL",40,0,4,"other",25.7833333333333,"0","0",5,"0","I"
"59","3","3",6,"play_type_pass","SHOTGUN","2 RB, 1 TE, 2 WR",6,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",40,0,4,"other",25.6666666666667,"0","0",6,"0","I"
"60","3","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,6,"4 DL, 3 LB, 4 DB","TRADITIONAL",78,0,4,"own",25.3333333333333,"0","0",4,"0","I"
"61","3","2",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",78,5,4,"own",25.2833333333333,"0","0",5,"0","C"
"62","4","3",3,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,7,"4 DL, 1 LB, 6 DB","TRADITIONAL",25,0,4,"own",23.05,"0","0",6,"0","IN"
"63","4","1",10,"play_type_pass","SHOTGUN","1 RB, 2 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",39,0,4,"other",20.75,"0","0",5,"0","IN"
"64","4","1",10,"play_type_pass","I_FORM","1 RB, 2 TE, 2 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",37,18,4,"own",20.5833333333333,"0","0",5,"1","C"
"65","4","3",14,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",31,0,2,"other",17.9833333333333,"0","0",5,"0","I"
"66","4","1",20,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"4 DL, 2 LB, 5 DB","TRADITIONAL",87,-5,2,"other",17.25,"0","0",5,"0","C"
"67","4","2",25,"play_type_sack","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",92,-3,2,"other",16.5166666666667,"0","0",6,"0","S"
"68","4","3",28,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",3,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",95,14,2,"other",15.75,"0","0",6,"0","C"
"69","4","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,3,"3 DL, 3 LB, 5 DB","TRADITIONAL",56,2,2,"other",14.85,"1","0",5,"0","C"
"70","4","2",8,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",58,0,2,"other",14.8,"1","0",5,"0","I"
"71","4","3",8,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,3,"3 DL, 3 LB, 5 DB","TRADITIONAL",58,9,2,"other",14.6833333333333,"1","0",5,"1","C"
"72","4","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",67,6,2,"own",14.5333333333333,"1","0",5,"1","C"
"73","4","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",85,6,6,"other",12.3166666666667,"1","0",6,"0","C"
"74","4","2",4,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",79,36,6,"other",12.0166666666667,"1","0",6,"1","C"
"75","4","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",43,0,6,"own",11.9,"1","0",6,"0","I"
"76","4","2",10,"play_type_sack","SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"4 DL, 1 LB, 6 DB","SCRAMBLE_ROLLOUT_LEFT",43,-7,6,"own",11.8333333333333,"1","0",6,"0","S"
"77","4","3",17,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",4,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",50,18,6,"own",11.4166666666667,"1","0",6,"1","C"
"78","4","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",32,9,6,"own",11.3,"1","0",6,"1","C"
"79","4","2",1,"play_type_sack","SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"4 DL, 1 LB, 6 DB","TRADITIONAL",23,-7,6,"own",10.9166666666667,"1","0",6,"0","S"
"80","4","3",8,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"4 DL, 1 LB, 6 DB","TRADITIONAL",30,10,6,"own",10.4833333333333,"1","0",6,"1","C"
"81","4","1",10,"play_type_pass","PISTOL","1 RB, 1 TE, 3 WR",6,4,"4 DL, 1 LB, 6 DB","SCRAMBLE_ROLLOUT_RIGHT",20,0,6,"own",10.4,"1","0",6,"0","I"
"82","4","2",10,"play_type_pass","EMPTY","1 RB, 1 TE, 3 WR",6,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",20,0,6,"own",10.2666666666667,"1","0",6,"0","I"
"83","4","3",10,"play_type_pass","EMPTY","1 RB, 1 TE, 3 WR",6,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",20,0,6,"own",10.1833333333333,"1","0",6,"0","I"
"84","4","1",5,"play_type_pass","EMPTY","1 RB, 1 TE, 3 WR",7,4,"4 DL, 1 LB, 6 DB","TRADITIONAL",15,0,6,"own",10.0166666666667,"1","0",6,"0","I"
"85","1","2",7,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",38,5,0,"other",69.4,"0","0",5,"0","C"
"86","1","3",2,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,6,"3 DL, 3 LB, 5 DB","TRADITIONAL",43,0,0,"other",68.6166666666667,"0","0",5,"0","I"
"87","1","2",4,"play_type_pass","SINGLEBACK","1 RB, 2 TE, 2 WR",7,4,"3 DL, 4 LB, 4 DB","TRADITIONAL",68,1,0,"other",67.8666666666667,"0","0",4,"0","C"
"88","1","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,5,"3 DL, 4 LB, 4 DB","TRADITIONAL",62,0,0,"other",65.9333333333333,"0","0",4,"0","I"
"89","1","3",6,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,3,"2 DL, 3 LB, 6 DB","TRADITIONAL",58,0,0,"own",65.3,"0","0",6,"0","I"
"90","1","1",10,"play_type_pass","SINGLEBACK","2 RB, 2 TE, 1 WR",9,4,"4 DL, 3 LB, 4 DB","TRADITIONAL",30,12,0,"other",65.1333333333333,"0","0",4,"1","C"
"91","1","2",9,"play_type_pass","SHOTGUN","0 RB, 1 TE, 4 WR",5,3,"3 DL, 3 LB, 5 DB","TRADITIONAL",53,0,0,"other",63.1666666666667,"0","0",5,"0","I"
"92","1","3",9,"play_type_pass","EMPTY","1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB","TRADITIONAL",53,0,0,"other",63.0833333333333,"0","1",5,"0","C"
"93","1","1",10,"play_type_sack","SINGLEBACK","1 RB, 1 TE, 3 WR",7,4,"3 DL, 4 LB, 4 DB","SCRAMBLE",96,-5,0,"other",62.65,"0","1",4,"1","S"
"94","1","1",10,"play_type_pass","SHOTGUN","2 RB, 1 TE, 2 WR",7,4,"3 DL, 4 LB, 4 DB","TRADITIONAL",86,0,0,"other",62.35,"0","0",4,"0","I"
"95","1","3",9,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"2 DL, 3 LB, 6 DB","TRADITIONAL",85,0,0,"other",61.6833333333333,"0","0",6,"0","I"
"96","1","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,6,"3 DL, 3 LB, 5 DB","TRADITIONAL",60,0,0,"own",61.4,"0","0",5,"0","I"
"97","1","2",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",60,0,0,"own",61.3166666666667,"0","0",5,"0","I"
"98","1","3",5,"play_type_pass","EMPTY","0 RB, 1 TE, 4 WR",6,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",65,27,0,"own",61.25,"0","0",5,"1","C"
"99","1","1",10,"play_type_pass","EMPTY","0 RB, 1 TE, 4 WR",4,3,"3 DL, 3 LB, 5 DB","SCRAMBLE_ROLLOUT_RIGHT",92,0,0,"own",60.5333333333333,"0","0",5,"0","IN"
"100","1","2",13,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB","TRADITIONAL",87,3,0,"other",57.8,"0","0",5,"0","C"
"101","1","3",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"2 DL, 3 LB, 6 DB","TRADITIONAL",84,0,0,"other",57.1833333333333,"0","0",6,"0","I"
"102","1","3",2,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 3 LB, 4 DB","SCRAMBLE",30,37,0,"other",55.5333333333333,"0","0",4,"1","C"
"103","2","1",10,"play_type_sack","SINGLEBACK","1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",53,-4,0,"own",55,"0","0",5,"0","S"
"104","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",34,13,0,"own",52.95,"0","0",5,"1","C"
"105","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,2,"3 DL, 3 LB, 5 DB","TRADITIONAL",21,3,0,"own",52.2166666666667,"0","0",5,"1","C"
"106","2","2",7,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,3,"4 DL, 2 LB, 5 DB","TRADITIONAL",18,0,0,"own",51.5166666666667,"0","0",5,"0","I"
"107","2","2",11,"play_type_pass","SINGLEBACK","1 RB, 2 TE, 2 WR",6,4,"2 DL, 4 LB, 5 DB","TRADITIONAL",34,33,7,"other",50.7,"0","0",5,"1","C"
"108","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB","SCRAMBLE_ROLLOUT_RIGHT",67,0,7,"own",50.05,"0","0",5,"0","I"
"109","2","3",6,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"2 DL, 3 LB, 6 DB","TRADITIONAL",77,1,7,"own",47.7666666666667,"0","1",6,"0","C"
"110","2","1",10,"play_type_pass","I_FORM","2 RB, 2 TE, 1 WR",8,4,"4 DL, 3 LB, 4 DB","TRADITIONAL",98,0,7,"other",47.5,"0","0",4,"0","IN"
"111","2","2",7,"play_type_pass","SINGLEBACK","1 RB, 1 TE, 3 WR",5,4,"2 DL, 4 LB, 5 DB","SCRAMBLE",41,12,7,"other",46.7333333333333,"0","0",5,"1","C"
"112","2","2",10,"play_type_sack","SINGLEBACK","1 RB, 2 TE, 2 WR",6,5,"3 DL, 4 LB, 4 DB","TRADITIONAL",64,-7,7,"own",43.8333333333333,"0","0",4,"0","S"
"113","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",101,11,7,"other",42.55,"0","0",5,"1","C"
"114","2","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,3,"3 DL, 3 LB, 5 DB","TRADITIONAL",90,15,7,"other",42.1,"0","0",5,"1","C"
"115","2","2",2,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",4,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",55,8,7,"own",41.0166666666667,"0","0",5,"1","C"
"116","2","1",10,"play_type_pass","EMPTY","1 RB, 1 TE, 3 WR",4,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",47,0,7,"own",40.9166666666667,"0","0",5,"0","I"
"117","2","2",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"3 DL, 3 LB, 5 DB","TRADITIONAL",47,0,7,"own",40.85,"0","0",5,"0","IN"
"118","2","2",16,"play_type_sack","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"2 DL, 3 LB, 6 DB","TRADITIONAL",59,-8,7,"other",40.6166666666667,"0","0",6,"0","S"
"119","3","1",10,"play_type_sack","SINGLEBACK","1 RB, 2 TE, 2 WR",6,7,"3 DL, 4 LB, 4 DB","TRADITIONAL",96,-10,7,"other",39.9,"0","0",4,"0","S"
"120","3","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",36,67,0,"other",34.9833333333333,"0","0",5,"1","C"
"121","3","2",22,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"4 DL, 2 LB, 5 DB","TRADITIONAL",88,22,0,"own",33.4833333333333,"0","0",5,"1","C"
"122","3","1",10,"play_type_pass","SINGLEBACK","1 RB, 2 TE, 2 WR",7,4,"3 DL, 4 LB, 4 DB","SCRAMBLE_ROLLOUT_RIGHT",102,8,7,"other",33.3166666666667,"0","0",4,"1","C"
"123","3","1",10,"play_type_pass","SINGLEBACK","1 RB, 2 TE, 2 WR",7,4,"3 DL, 4 LB, 4 DB","TRADITIONAL",89,0,7,"other",32.6,"0","0",4,"0","I"
"124","3","3",12,"play_type_sack","SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"2 DL, 3 LB, 6 DB","SCRAMBLE",91,-5,7,"other",31.8833333333333,"0","0",6,"0","S"
"125","3","1",10,"play_type_pass","EMPTY","1 RB, 2 TE, 2 WR",6,4,"2 DL, 4 LB, 5 DB","TRADITIONAL",99,0,14,"other",30.3166666666667,"0","0",5,"0","I"
"126","3","3",7,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,5,"2 DL, 3 LB, 6 DB","TRADITIONAL",96,39,14,"other",29.6833333333333,"0","0",6,"1","C"
"127","3","1",10,"play_type_pass","WILDCAT","1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB","TRADITIONAL",57,0,14,"own",28.8333333333333,"0","0",5,"0","I"
"128","3","2",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,3,"2 DL, 4 LB, 5 DB","TRADITIONAL",57,0,14,"own",28.7,"0","0",5,"0","I"
"129","3","3",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"2 DL, 3 LB, 6 DB","TRADITIONAL",57,0,14,"own",28.6666666666667,"0","0",6,"0","I"
"130","3","3",4,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,6,"3 DL, 3 LB, 5 DB","TRADITIONAL",30,6,14,"other",27.1,"0","0",5,"1","C"
"131","3","3",4,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,5,"3 DL, 3 LB, 5 DB","TRADITIONAL",42,19,14,"other",25.15,"0","0",5,"1","C"
"132","4","1",10,"play_type_pass","SHOTGUN","0 RB, 1 TE, 4 WR",5,3,"3 DL, 3 LB, 5 DB","TRADITIONAL",59,0,14,"own",25,"0","0",5,"0","I"
"133","4","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",7,2,"4 DL, 3 LB, 4 DB","TRADITIONAL",48,0,14,"own",23.6333333333333,"0","0",4,"0","I"
"134","4","1",10,"play_type_pass","SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB","TRADITIONAL",40,6,14,"other",22.1,"0","0",5,"0","C"
